name,caption,sentiment,emotion,desire
Little explorers,Little boy and girl exploring the world,positive,happiness,curiosity
Online shopping,Young woman shopping online with credit card and lap top at home,positive,happiness,none
Gazing at a screen is a frequent eyestrain culprit,Shot of a young businesswoman rubbing her eyes while working alongside her colleague in an office at night,negative,sad,none
Fisherman with a big fish on stormy background,Portrait of senior fisherman holding big fish,neutral,neutral,none
Filipino girl looking through cardboard tube,Filipino girl looking through cardboard tube,positive,happiness,curiosity
Father and son sleeping in bed,Father and son sleeping in bed,neutral,neutral,family
Moder mid adult pet sitter,Mid adult pet sitter with big group of dogs walking at public park,neutral,neutral,none
Father reading book with daughter at home,Father reading book with daughter at home,neutral,neutral,family
Caucasian teenage girl looking out window,Caucasian teenage girl looking out window,negative,sad,none
"Man and woman messing about, dancing","Man and woman messing about, dancing",positive,happiness,social-contact
Silhouette shadow of woman looking at city from office,Silhouette shadow of woman looking at city from office,negative,sad,none
Family sitting on dock by lake,Family sitting on dock by lake,neutral,neutral,family
Young girl looking into fishnet at beach,Young girl looking into fishnet at beach,positive,happiness,curiosity
Young Woman Praying or Meditating in Home,"Woman relaxes in her house, eyes closed in prayer, deep thought, or meditation. A healthy part of living with mindfulness.",neutral,neutral,none
Horror,Horror,negative,fear,none
Beautiful girl with curly hairstyle,Beautiful girl with curly hairstyle,positive,happiness,none
Portrait of unhappy girl with bowl of squids,Portrait of unhappy girl with bowl of squids,negative,disgust,none
Moody Girl on Airplane,"Close up portrait of a young, moody girl curled up in her seat on an airplane. She's sitting in profile with her arms wrapped around her legs as she looks straight ahead on her journey. Travel. Childhood.",negative,fear,curiosity
Business Owner Sitting In Chair Using Smartphone,"Business owner sitting in a comfortable chair in a modern office space, using his smartphone.",neutral,neutral,none
"Mture man taking a break, drinking coffee at the window of his loft apartment","Mture man taking a break, drinking coffee at the window of his loft apartment",neutral,neutral,none
Crumpling under the pressure,Shot of a fearful young woman trying to hide from her coworkers&#039; accusatory fingershttp://195.154.178.81/DATA/i_collage/pi/shoots/783578.jpg,negative,fear,tranquility
Senior couple dancing at kitchen,Senior couple dancing at kitchen,positive,happiness,romance
Success is a collaborative effort,Shot of a beautiful african-american businesswoman standing with arms crossed in front of her team in board room. Multi-ethnic group of business people on meeting in conference room.,positive,happiness,social-contact
Friends make the world a happier place,Studio shot of a group of attractive young women embracing against a gray background,positive,happiness,social-contact
Teenage girls fighting at prom,Teenage girls fighting at prom,negative,anger,vengeance
Senior Man Walking Dog in Park,"Senior man is walking his terrier dog along a path in a public park, enjoying the scenic views of nature.",neutral,neutral,none
Father And Son Relaxing By Large Window At Home,"Father and son are relaxing by a large window at home, reading and playing games together.",neutral,neutral,family
Asian women are picking up books on the bookshelf. To prepare to back to school,Asian women are picking up books on the bookshelf. To prepare to back to school,neutral,neutral,none
Young woman sitting on sofa with smartphone,Young woman sitting on sofa with smartphone,negative,sad,none
Young displeased woman jealously looking at the man using digital tablet,Young man using digital tablet and his wife is looking at it over his shoulder,negative,sad,romance
